text,intent,sentiment
Thanks for the quick support. I was charged extra $20 for my SIM card in South Africa via call center.,Billing,Positive
This situation is frustrating. I want to report delayed response regarding 5G service support in Germany.,Complaint,Negative
Glad this was resolved. I am experiencing unstable connection with my data pack in Germany.,Technical,Positive
I would like clarification. I am experiencing connection drops with my WiFi extender in US.,Technical,Neutral
I appreciate your help. I want to report delayed response regarding broadband support in Singapore.,Complaint,Positive
Thank you for your assistance. I requested a refund of $120 for my fiber connection purchased in Singapore.,Refund,Positive
Thank you for your assistance. I am experiencing packet loss issue with my family plan in Canada.,Technical,Positive
Thanks for the quick support. I would like information about device compatibility and family sharing for the fiber connection.,Product Inquiry,Positive
I am unhappy with the service. I am experiencing slow internet with my fiber connection in Germany.,Technical,Negative
I would like clarification. I requested a refund of $30 for my international roaming purchased in Canada.,Refund,Neutral
I appreciate your help. I was given wrong invoice $120 for my data pack in Germany via mobile app.,Billing,Positive
I would like clarification. I am experiencing slow internet with my WiFi extender in UK.,Technical,Neutral
Glad this was resolved. I want to report long waiting time regarding router support in India.,Complaint,Positive
This is unacceptable. I requested a refund of $40 for my mobile plan purchased in Australia.,Refund,Negative
I would like clarification. I am experiencing unstable connection with my router in France.,Technical,Neutral
I am extremely frustrated. I was tax miscalculated $20 for my SIM card in Singapore via call center.,Billing,Negative
Kindly assist me. I was overcharged $75 for my 5G service in UK via live chat.,Billing,Neutral
This situation is frustrating. I am experiencing network outage with my 5G service in France.,Technical,Negative
I am extremely frustrated. I requested a refund of $30 for my family plan purchased in Australia.,Refund,Negative
Kindly assist me. I am experiencing router malfunction with my router in France.,Technical,Neutral
Thank you for your assistance. I requested a refund of $120 for my mobile plan purchased in US.,Refund,Positive
I am satisfied with the service. I would like information about contract terms and data rollover for the broadband.,Product Inquiry,Positive
Kindly assist me. I was tax miscalculated $100 for my data pack in UAE via service portal.,Billing,Neutral
I am satisfied with the service. I want to report lack of transparency regarding fiber connection support in Germany.,Complaint,Positive
Glad this was resolved. I was incorrectly billed $200 for my family plan in Australia via customer support.,Billing,Positive
This situation is frustrating. I am experiencing network outage with my SIM card in Singapore.,Technical,Negative
I am satisfied with the service. I requested a refund of $120 for my WiFi extender purchased in Singapore.,Refund,Positive
I am unhappy with the service. I was overcharged $100 for my SIM card in UAE via customer support.,Billing,Negative
I am satisfied with the service. I was incorrectly billed $150 for my SIM card in South Africa via call center.,Billing,Positive
Thank you for your assistance. I would like information about pricing details and cloud storage for the mobile plan.,Product Inquiry,Positive
Thanks for the quick support. I want to report delayed response regarding fiber connection support in France.,Complaint,Positive
I am very disappointed. I requested a refund of $120 for my router purchased in South Africa.,Refund,Negative
Glad this was resolved. I requested a refund of $40 for my mobile plan purchased in Canada.,Refund,Positive
I am unhappy with the service. I am experiencing packet loss issue with my family plan in Singapore.,Technical,Negative
Please provide details. I was incorrectly billed $20 for my broadband in UAE via live chat.,Billing,Neutral
I am satisfied with the service. I want to report long waiting time regarding SIM card support in UK.,Complaint,Positive
I would like clarification. I requested a refund of $200 for my 5G service purchased in Singapore.,Refund,Neutral
This is unacceptable. I was tax miscalculated $150 for my WiFi extender in South Africa via live chat.,Billing,Negative
I need some information. I am experiencing unstable connection with my fiber connection in US.,Technical,Neutral
Could you help me? I requested a refund of $50 for my family plan purchased in Singapore.,Refund,Neutral
This is unacceptable. I requested a refund of $150 for my WiFi extender purchased in US.,Refund,Negative
I would like clarification. I requested a refund of $120 for my international roaming purchased in Australia.,Refund,Neutral
I am unhappy with the service. I was incorrectly billed $200 for my fiber connection in UK via mobile app.,Billing,Negative
Please provide details. I requested a refund of $150 for my SIM card purchased in UK.,Refund,Neutral
I need some information. I requested a refund of $50 for my router purchased in Australia.,Refund,Neutral
I need some information. I requested a refund of $150 for my WiFi extender purchased in India.,Refund,Neutral
Thanks for the quick support. I want to report poor service regarding SIM card support in UK.,Complaint,Positive
I need some information. I was incorrectly billed $150 for my fiber connection in Germany via email support.,Billing,Neutral
Thank you for your assistance. I was overcharged $50 for my fiber connection in Germany via mobile app.,Billing,Positive
I would like clarification. I am experiencing router malfunction with my SIM card in South Africa.,Technical,Neutral
I would like clarification. I want to report unhelpful support regarding data pack support in UAE.,Complaint,Neutral
This situation is frustrating. I am experiencing no signal with my SIM card in South Africa.,Technical,Negative
Kindly assist me. I would like information about contract terms and priority service for the router.,Product Inquiry,Neutral
I need some information. I was charged twice $100 for my broadband in US via mobile app.,Billing,Neutral
Thank you for your assistance. I am experiencing unstable connection with my family plan in France.,Technical,Positive
I appreciate your help. I am experiencing network outage with my broadband in US.,Technical,Positive
I need some information. I requested a refund of $75 for my international roaming purchased in UK.,Refund,Neutral
This situation is frustrating. I would like information about pricing details and 5G access for the fiber connection.,Product Inquiry,Negative
I would like clarification. I want to report rude behavior regarding data pack support in UK.,Complaint,Neutral
I need some information. I requested a refund of $120 for my mobile plan purchased in Australia.,Refund,Neutral
This is unacceptable. I am experiencing unstable connection with my mobile plan in France.,Technical,Negative
I need some information. I want to report unhelpful support regarding SIM card support in US.,Complaint,Neutral
I am unhappy with the service. I would like information about device compatibility and international roaming for the router.,Product Inquiry,Negative
I am extremely frustrated. I would like information about pricing details and unlimited calls for the international roaming.,Product Inquiry,Negative
Kindly assist me. I requested a refund of $10 for my WiFi extender purchased in Singapore.,Refund,Neutral
Could you help me? I want to report long waiting time regarding broadband support in South Africa.,Complaint,Neutral
This is unacceptable. I was tax miscalculated $50 for my SIM card in UK via live chat.,Billing,Negative
Glad this was resolved. I would like information about device compatibility and priority service for the SIM card.,Product Inquiry,Positive
I am extremely frustrated. I would like information about pricing details and 5G access for the broadband.,Product Inquiry,Negative
Kindly assist me. I was given wrong invoice $120 for my 5G service in Singapore via mobile app.,Billing,Neutral
I am extremely frustrated. I would like information about upgrade options and 5G access for the WiFi extender.,Product Inquiry,Negative
I appreciate your help. I was given wrong invoice $10 for my family plan in Germany via email support.,Billing,Positive
I am unhappy with the service. I want to report delayed response regarding SIM card support in Canada.,Complaint,Negative
Thank you for your assistance. I was tax miscalculated $75 for my fiber connection in France via email support.,Billing,Positive
Kindly assist me. I want to report unhelpful support regarding fiber connection support in UAE.,Complaint,Neutral
I am very disappointed. I would like information about upgrade options and cloud storage for the data pack.,Product Inquiry,Negative
I am very disappointed. I want to report lack of transparency regarding fiber connection support in UK.,Complaint,Negative
I need some information. I was given wrong invoice $10 for my mobile plan in Germany via service portal.,Billing,Neutral
Thank you for your assistance. I would like information about contract terms and data rollover for the WiFi extender.,Product Inquiry,Positive
I need some information. I requested a refund of $150 for my international roaming purchased in UAE.,Refund,Neutral
This situation is frustrating. I would like information about international coverage and data rollover for the SIM card.,Product Inquiry,Negative
I would like clarification. I would like information about pricing details and international roaming for the 5G service.,Product Inquiry,Neutral
Glad this was resolved. I was overcharged $100 for my 5G service in Singapore via call center.,Billing,Positive
Thank you for your assistance. I am experiencing no signal with my fiber connection in Singapore.,Technical,Positive
I am satisfied with the service. I am experiencing no signal with my 5G service in US.,Technical,Positive
Thank you for your assistance. I want to report unhelpful support regarding broadband support in Germany.,Complaint,Positive
This situation is frustrating. I am experiencing router malfunction with my WiFi extender in UK.,Technical,Negative
I would like clarification. I would like information about contract terms and unlimited calls for the WiFi extender.,Product Inquiry,Neutral
Glad this was resolved. I want to report rude behavior regarding mobile plan support in France.,Complaint,Positive
This is unacceptable. I would like information about plan benefits and unlimited calls for the family plan.,Product Inquiry,Negative
I need some information. I would like information about pricing details and data rollover for the router.,Product Inquiry,Neutral
This situation is frustrating. I would like information about pricing details and international roaming for the fiber connection.,Product Inquiry,Negative
I am extremely frustrated. I am experiencing packet loss issue with my SIM card in South Africa.,Technical,Negative
I am unhappy with the service. I want to report poor service regarding 5G service support in France.,Complaint,Negative
Could you help me? I requested a refund of $10 for my family plan purchased in Australia.,Refund,Neutral
I would like clarification. I was charged twice $40 for my data pack in Canada via call center.,Billing,Neutral
I am satisfied with the service. I was incorrectly billed $20 for my WiFi extender in India via mobile app.,Billing,Positive
Could you help me? I want to report delayed response regarding fiber connection support in UK.,Complaint,Neutral
I need some information. I am experiencing no signal with my SIM card in Australia.,Technical,Neutral
I am very disappointed. I was charged extra $120 for my 5G service in South Africa via service portal.,Billing,Negative
I am satisfied with the service. I want to report long waiting time regarding international roaming support in US.,Complaint,Positive
I am extremely frustrated. I want to report long waiting time regarding data pack support in Australia.,Complaint,Negative
I am very disappointed. I would like information about device compatibility and priority service for the family plan.,Product Inquiry,Negative
Could you help me? I requested a refund of $10 for my international roaming purchased in South Africa.,Refund,Neutral
I am satisfied with the service. I am experiencing slow internet with my 5G service in US.,Technical,Positive
I would like clarification. I requested a refund of $150 for my router purchased in France.,Refund,Neutral
Please provide details. I was given wrong invoice $200 for my broadband in UAE via service portal.,Billing,Neutral
I am satisfied with the service. I requested a refund of $40 for my mobile plan purchased in South Africa.,Refund,Positive
Glad this was resolved. I would like information about upgrade options and unlimited calls for the family plan.,Product Inquiry,Positive
Could you help me? I am experiencing network outage with my international roaming in UK.,Technical,Neutral
I am satisfied with the service. I was given wrong invoice $150 for my 5G service in Singapore via mobile app.,Billing,Positive
I am unhappy with the service. I was charged extra $40 for my data pack in US via service portal.,Billing,Negative
I am extremely frustrated. I would like information about international coverage and premium support for the international roaming.,Product Inquiry,Negative
Thank you for your assistance. I want to report unhelpful support regarding router support in France.,Complaint,Positive
Thank you for your assistance. I am experiencing connection drops with my router in Australia.,Technical,Positive
Thanks for the quick support. I was charged extra $50 for my router in South Africa via call center.,Billing,Positive
I appreciate your help. I would like information about pricing details and premium support for the WiFi extender.,Product Inquiry,Positive
I need some information. I was charged twice $75 for my 5G service in Australia via email support.,Billing,Neutral
Thank you for your assistance. I would like information about upgrade options and cloud storage for the SIM card.,Product Inquiry,Positive
Glad this was resolved. I requested a refund of $75 for my mobile plan purchased in Singapore.,Refund,Positive
I would like clarification. I requested a refund of $50 for my WiFi extender purchased in France.,Refund,Neutral
Kindly assist me. I am experiencing network outage with my family plan in France.,Technical,Neutral
I appreciate your help. I want to report lack of transparency regarding SIM card support in Canada.,Complaint,Positive
This situation is frustrating. I was charged twice $10 for my data pack in Germany via call center.,Billing,Negative
Kindly assist me. I requested a refund of $50 for my 5G service purchased in Australia.,Refund,Neutral
This situation is frustrating. I would like information about data limits and 5G access for the router.,Product Inquiry,Negative
Glad this was resolved. I am experiencing unstable connection with my 5G service in Singapore.,Technical,Positive
I am very disappointed. I was charged extra $200 for my family plan in India via live chat.,Billing,Negative
I need some information. I am experiencing unstable connection with my fiber connection in Australia.,Technical,Neutral
I would like clarification. I would like information about pricing details and priority service for the data pack.,Product Inquiry,Neutral
Thanks for the quick support. I was tax miscalculated $150 for my fiber connection in Germany via service portal.,Billing,Positive
This is unacceptable. I would like information about pricing details and family sharing for the mobile plan.,Product Inquiry,Negative
I appreciate your help. I was given wrong invoice $30 for my broadband in France via call center.,Billing,Positive
Thanks for the quick support. I am experiencing unstable connection with my SIM card in Germany.,Technical,Positive
I need some information. I was given wrong invoice $30 for my router in Australia via customer support.,Billing,Neutral
I am unhappy with the service. I was given wrong invoice $30 for my data pack in India via live chat.,Billing,Negative
Kindly assist me. I am experiencing slow internet with my router in UK.,Technical,Neutral
I am satisfied with the service. I am experiencing connection drops with my SIM card in France.,Technical,Positive
I am unhappy with the service. I am experiencing no signal with my family plan in South Africa.,Technical,Negative
Thank you for your assistance. I want to report lack of transparency regarding family plan support in France.,Complaint,Positive
This situation is frustrating. I am experiencing slow internet with my SIM card in UAE.,Technical,Negative
This is unacceptable. I am experiencing unstable connection with my SIM card in UAE.,Technical,Negative
Kindly assist me. I want to report rude behavior regarding SIM card support in Canada.,Complaint,Neutral
Thank you for your assistance. I am experiencing network outage with my WiFi extender in Canada.,Technical,Positive
This is unacceptable. I want to report rude behavior regarding SIM card support in France.,Complaint,Negative
I am very disappointed. I want to report long waiting time regarding fiber connection support in UAE.,Complaint,Negative
This situation is frustrating. I am experiencing slow internet with my fiber connection in France.,Technical,Negative
This is unacceptable. I want to report unhelpful support regarding family plan support in India.,Complaint,Negative
This is unacceptable. I am experiencing packet loss issue with my international roaming in US.,Technical,Negative
I am very disappointed. I want to report long waiting time regarding WiFi extender support in France.,Complaint,Negative
Could you help me? I want to report lack of transparency regarding router support in Singapore.,Complaint,Neutral
This situation is frustrating. I was charged twice $120 for my data pack in France via live chat.,Billing,Negative
I am very disappointed. I want to report lack of transparency regarding international roaming support in US.,Complaint,Negative
Kindly assist me. I was overcharged $200 for my international roaming in South Africa via customer support.,Billing,Neutral
I am unhappy with the service. I was given wrong invoice $30 for my WiFi extender in US via customer support.,Billing,Negative
I am extremely frustrated. I requested a refund of $150 for my WiFi extender purchased in UK.,Refund,Negative
I appreciate your help. I would like information about device compatibility and data rollover for the broadband.,Product Inquiry,Positive
Thanks for the quick support. I would like information about data limits and data rollover for the SIM card.,Product Inquiry,Positive
Thanks for the quick support. I want to report poor service regarding SIM card support in Singapore.,Complaint,Positive
I am unhappy with the service. I would like information about contract terms and cloud storage for the broadband.,Product Inquiry,Negative
Could you help me? I requested a refund of $150 for my mobile plan purchased in Singapore.,Refund,Neutral
I am extremely frustrated. I would like information about international coverage and 5G access for the fiber connection.,Product Inquiry,Negative
Could you help me? I am experiencing connection drops with my international roaming in UK.,Technical,Neutral
I would like clarification. I want to report delayed response regarding WiFi extender support in Germany.,Complaint,Neutral
I am unhappy with the service. I would like information about pricing details and data rollover for the fiber connection.,Product Inquiry,Negative
I appreciate your help. I am experiencing slow internet with my family plan in Germany.,Technical,Positive
I would like clarification. I want to report poor service regarding family plan support in UAE.,Complaint,Neutral
This situation is frustrating. I am experiencing router malfunction with my broadband in UAE.,Technical,Negative
I appreciate your help. I requested a refund of $30 for my WiFi extender purchased in Germany.,Refund,Positive
I am very disappointed. I was tax miscalculated $75 for my 5G service in France via live chat.,Billing,Negative
Glad this was resolved. I requested a refund of $50 for my mobile plan purchased in Canada.,Refund,Positive
I appreciate your help. I want to report delayed response regarding international roaming support in India.,Complaint,Positive
Thanks for the quick support. I am experiencing network outage with my fiber connection in UAE.,Technical,Positive
I am satisfied with the service. I want to report long waiting time regarding data pack support in India.,Complaint,Positive
This situation is frustrating. I was charged extra $100 for my data pack in South Africa via email support.,Billing,Negative
I appreciate your help. I requested a refund of $120 for my international roaming purchased in Australia.,Refund,Positive
I am very disappointed. I was tax miscalculated $100 for my router in France via customer support.,Billing,Negative
I would like clarification. I am experiencing no signal with my family plan in Germany.,Technical,Neutral
I am satisfied with the service. I am experiencing connection drops with my international roaming in Australia.,Technical,Positive
I am unhappy with the service. I would like information about plan benefits and international roaming for the broadband.,Product Inquiry,Negative
I would like clarification. I want to report poor service regarding WiFi extender support in US.,Complaint,Neutral
This situation is frustrating. I requested a refund of $10 for my mobile plan purchased in France.,Refund,Negative
Kindly assist me. I was incorrectly billed $150 for my fiber connection in US via service portal.,Billing,Neutral
I am very disappointed. I want to report unhelpful support regarding WiFi extender support in France.,Complaint,Negative
Could you help me? I am experiencing no signal with my SIM card in UAE.,Technical,Neutral
Glad this was resolved. I requested a refund of $30 for my family plan purchased in Singapore.,Refund,Positive
I am very disappointed. I requested a refund of $20 for my fiber connection purchased in France.,Refund,Negative
Thank you for your assistance. I am experiencing router malfunction with my SIM card in India.,Technical,Positive
This is unacceptable. I would like information about international coverage and unlimited calls for the WiFi extender.,Product Inquiry,Negative
I am very disappointed. I was given wrong invoice $150 for my fiber connection in Singapore via email support.,Billing,Negative
I am extremely frustrated. I requested a refund of $75 for my broadband purchased in US.,Refund,Negative
I would like clarification. I was overcharged $150 for my SIM card in Australia via call center.,Billing,Neutral
This situation is frustrating. I would like information about international coverage and premium support for the broadband.,Product Inquiry,Negative
I am very disappointed. I was incorrectly billed $100 for my mobile plan in Singapore via email support.,Billing,Negative
This is unacceptable. I requested a refund of $50 for my family plan purchased in France.,Refund,Negative
Kindly assist me. I requested a refund of $30 for my family plan purchased in France.,Refund,Neutral
This situation is frustrating. I would like information about pricing details and priority service for the SIM card.,Product Inquiry,Negative
I am very disappointed. I would like information about device compatibility and 5G access for the 5G service.,Product Inquiry,Negative
Thank you for your assistance. I was tax miscalculated $150 for my family plan in India via call center.,Billing,Positive
Please provide details. I was charged extra $100 for my WiFi extender in South Africa via email support.,Billing,Neutral
Please provide details. I want to report delayed response regarding WiFi extender support in US.,Complaint,Neutral
I appreciate your help. I would like information about international coverage and priority service for the international roaming.,Product Inquiry,Positive
Glad this was resolved. I was given wrong invoice $30 for my data pack in India via live chat.,Billing,Positive
Please provide details. I was charged twice $50 for my international roaming in US via customer support.,Billing,Neutral
I am unhappy with the service. I would like information about international coverage and data rollover for the family plan.,Product Inquiry,Negative
I am satisfied with the service. I am experiencing unstable connection with my mobile plan in South Africa.,Technical,Positive
Thanks for the quick support. I requested a refund of $150 for my broadband purchased in India.,Refund,Positive
Please provide details. I want to report lack of transparency regarding WiFi extender support in Singapore.,Complaint,Neutral
I appreciate your help. I requested a refund of $200 for my data pack purchased in Germany.,Refund,Positive
Thank you for your assistance. I requested a refund of $10 for my SIM card purchased in India.,Refund,Positive
This situation is frustrating. I requested a refund of $75 for my international roaming purchased in Canada.,Refund,Negative
Kindly assist me. I requested a refund of $120 for my SIM card purchased in Singapore.,Refund,Neutral
Thank you for your assistance. I am experiencing router malfunction with my mobile plan in UAE.,Technical,Positive
Kindly assist me. I would like information about pricing details and cloud storage for the broadband.,Product Inquiry,Neutral
I appreciate your help. I was charged extra $20 for my SIM card in South Africa via service portal.,Billing,Positive
This is unacceptable. I was tax miscalculated $50 for my router in South Africa via call center.,Billing,Negative
I am satisfied with the service. I was overcharged $200 for my WiFi extender in Singapore via live chat.,Billing,Positive
I appreciate your help. I am experiencing router malfunction with my family plan in France.,Technical,Positive
I am extremely frustrated. I would like information about pricing details and premium support for the fiber connection.,Product Inquiry,Negative
Thanks for the quick support. I would like information about device compatibility and cloud storage for the mobile plan.,Product Inquiry,Positive
I appreciate your help. I requested a refund of $50 for my broadband purchased in South Africa.,Refund,Positive
Glad this was resolved. I am experiencing unstable connection with my router in UAE.,Technical,Positive
I would like clarification. I would like information about pricing details and data rollover for the data pack.,Product Inquiry,Neutral
I am very disappointed. I was charged twice $50 for my router in Germany via mobile app.,Billing,Negative
Glad this was resolved. I was incorrectly billed $10 for my router in Australia via email support.,Billing,Positive
Thank you for your assistance. I am experiencing no signal with my WiFi extender in France.,Technical,Positive
This situation is frustrating. I would like information about upgrade options and cloud storage for the SIM card.,Product Inquiry,Negative
I need some information. I am experiencing unstable connection with my mobile plan in Singapore.,Technical,Neutral
I would like clarification. I was given wrong invoice $100 for my router in UAE via service portal.,Billing,Neutral
Kindly assist me. I am experiencing unstable connection with my SIM card in France.,Technical,Neutral
I need some information. I want to report poor service regarding family plan support in Singapore.,Complaint,Neutral
I am extremely frustrated. I was tax miscalculated $120 for my WiFi extender in UK via email support.,Billing,Negative
Please provide details. I am experiencing unstable connection with my SIM card in Singapore.,Technical,Neutral
I am satisfied with the service. I requested a refund of $20 for my 5G service purchased in Canada.,Refund,Positive
Thank you for your assistance. I would like information about pricing details and family sharing for the broadband.,Product Inquiry,Positive
Please provide details. I would like information about international coverage and priority service for the data pack.,Product Inquiry,Neutral
Glad this was resolved. I am experiencing no signal with my data pack in France.,Technical,Positive
This situation is frustrating. I would like information about device compatibility and international roaming for the broadband.,Product Inquiry,Negative
Could you help me? I was incorrectly billed $75 for my 5G service in France via mobile app.,Billing,Neutral
I would like clarification. I was tax miscalculated $20 for my international roaming in Singapore via mobile app.,Billing,Neutral
Glad this was resolved. I want to report delayed response regarding 5G service support in UAE.,Complaint,Positive
I am extremely frustrated. I would like information about device compatibility and priority service for the router.,Product Inquiry,Negative
Glad this was resolved. I want to report long waiting time regarding 5G service support in UAE.,Complaint,Positive
I need some information. I requested a refund of $20 for my family plan purchased in Canada.,Refund,Neutral
Thank you for your assistance. I want to report long waiting time regarding router support in India.,Complaint,Positive
I am very disappointed. I am experiencing slow internet with my WiFi extender in Singapore.,Technical,Negative
Could you help me? I would like information about pricing details and family sharing for the mobile plan.,Product Inquiry,Neutral
I would like clarification. I would like information about plan benefits and data rollover for the international roaming.,Product Inquiry,Neutral
I am unhappy with the service. I was given wrong invoice $200 for my broadband in UAE via service portal.,Billing,Negative
Kindly assist me. I would like information about contract terms and 5G access for the SIM card.,Product Inquiry,Neutral
I am very disappointed. I want to report rude behavior regarding WiFi extender support in Canada.,Complaint,Negative
This is unacceptable. I want to report long waiting time regarding WiFi extender support in UK.,Complaint,Negative
I need some information. I would like information about data limits and premium support for the broadband.,Product Inquiry,Neutral
Could you help me? I want to report lack of transparency regarding family plan support in UAE.,Complaint,Neutral
Thanks for the quick support. I am experiencing no signal with my fiber connection in UAE.,Technical,Positive
This is unacceptable. I requested a refund of $100 for my 5G service purchased in India.,Refund,Negative
I need some information. I would like information about international coverage and 5G access for the data pack.,Product Inquiry,Neutral
This is unacceptable. I requested a refund of $120 for my router purchased in UK.,Refund,Negative
I am very disappointed. I requested a refund of $120 for my international roaming purchased in Germany.,Refund,Negative
This situation is frustrating. I requested a refund of $100 for my data pack purchased in India.,Refund,Negative
I am unhappy with the service. I would like information about contract terms and 5G access for the 5G service.,Product Inquiry,Negative
I would like clarification. I was charged twice $40 for my WiFi extender in UAE via call center.,Billing,Neutral
This situation is frustrating. I requested a refund of $10 for my 5G service purchased in UK.,Refund,Negative
Glad this was resolved. I was tax miscalculated $50 for my router in US via call center.,Billing,Positive
This situation is frustrating. I was given wrong invoice $20 for my data pack in UK via service portal.,Billing,Negative
I appreciate your help. I was charged twice $30 for my international roaming in India via live chat.,Billing,Positive
Thank you for your assistance. I requested a refund of $20 for my data pack purchased in Singapore.,Refund,Positive
Kindly assist me. I requested a refund of $200 for my international roaming purchased in India.,Refund,Neutral
Could you help me? I am experiencing network outage with my international roaming in Germany.,Technical,Neutral
I am unhappy with the service. I am experiencing unstable connection with my router in Singapore.,Technical,Negative
This situation is frustrating. I was charged twice $40 for my WiFi extender in Canada via mobile app.,Billing,Negative
I would like clarification. I was incorrectly billed $120 for my data pack in UK via live chat.,Billing,Neutral
Please provide details. I want to report lack of transparency regarding fiber connection support in Singapore.,Complaint,Neutral
Please provide details. I would like information about contract terms and cloud storage for the router.,Product Inquiry,Neutral
I am satisfied with the service. I am experiencing router malfunction with my international roaming in Singapore.,Technical,Positive
I am unhappy with the service. I want to report long waiting time regarding international roaming support in UK.,Complaint,Negative
Thanks for the quick support. I would like information about upgrade options and family sharing for the SIM card.,Product Inquiry,Positive
Glad this was resolved. I want to report unhelpful support regarding WiFi extender support in Germany.,Complaint,Positive
This situation is frustrating. I would like information about contract terms and data rollover for the data pack.,Product Inquiry,Negative
Could you help me? I want to report delayed response regarding family plan support in South Africa.,Complaint,Neutral
I am extremely frustrated. I requested a refund of $75 for my fiber connection purchased in Canada.,Refund,Negative
I am unhappy with the service. I requested a refund of $120 for my WiFi extender purchased in UK.,Refund,Negative
I am very disappointed. I was charged extra $200 for my data pack in UAE via live chat.,Billing,Negative
I am extremely frustrated. I requested a refund of $40 for my international roaming purchased in UAE.,Refund,Negative
I am unhappy with the service. I want to report lack of transparency regarding mobile plan support in UK.,Complaint,Negative
Thank you for your assistance. I would like information about upgrade options and unlimited calls for the SIM card.,Product Inquiry,Positive
I am very disappointed. I would like information about contract terms and data rollover for the 5G service.,Product Inquiry,Negative
I am very disappointed. I am experiencing router malfunction with my SIM card in Canada.,Technical,Negative
I would like clarification. I was tax miscalculated $30 for my data pack in US via mobile app.,Billing,Neutral
This situation is frustrating. I am experiencing no signal with my family plan in Germany.,Technical,Negative
Glad this was resolved. I am experiencing no signal with my SIM card in France.,Technical,Positive
This is unacceptable. I want to report poor service regarding 5G service support in UAE.,Complaint,Negative
This is unacceptable. I want to report poor service regarding family plan support in Germany.,Complaint,Negative
Please provide details. I am experiencing router malfunction with my family plan in France.,Technical,Neutral
Thank you for your assistance. I requested a refund of $50 for my family plan purchased in India.,Refund,Positive
This situation is frustrating. I am experiencing router malfunction with my broadband in Germany.,Technical,Negative
Kindly assist me. I requested a refund of $120 for my router purchased in Canada.,Refund,Neutral
Thanks for the quick support. I was charged extra $150 for my 5G service in UK via live chat.,Billing,Positive
I am satisfied with the service. I am experiencing packet loss issue with my WiFi extender in UAE.,Technical,Positive
I appreciate your help. I requested a refund of $150 for my router purchased in US.,Refund,Positive
I am unhappy with the service. I would like information about contract terms and 5G access for the data pack.,Product Inquiry,Negative
I would like clarification. I was overcharged $50 for my SIM card in UAE via mobile app.,Billing,Neutral
I am satisfied with the service. I am experiencing network outage with my data pack in Australia.,Technical,Positive
I am unhappy with the service. I want to report unhelpful support regarding mobile plan support in UK.,Complaint,Negative
I am unhappy with the service. I requested a refund of $40 for my international roaming purchased in UAE.,Refund,Negative
I am unhappy with the service. I would like information about data limits and priority service for the family plan.,Product Inquiry,Negative
I would like clarification. I was charged extra $100 for my data pack in South Africa via email support.,Billing,Neutral
Could you help me? I am experiencing no signal with my data pack in India.,Technical,Neutral
I appreciate your help. I was charged extra $10 for my fiber connection in UAE via mobile app.,Billing,Positive
Could you help me? I would like information about device compatibility and cloud storage for the WiFi extender.,Product Inquiry,Neutral
This situation is frustrating. I would like information about data limits and unlimited calls for the international roaming.,Product Inquiry,Negative
I would like clarification. I would like information about plan benefits and data rollover for the WiFi extender.,Product Inquiry,Neutral
Thanks for the quick support. I am experiencing DNS error with my router in Australia.,Technical,Positive
Glad this was resolved. I requested a refund of $20 for my international roaming purchased in UAE.,Refund,Positive
I appreciate your help. I would like information about pricing details and premium support for the mobile plan.,Product Inquiry,Positive
I am satisfied with the service. I requested a refund of $20 for my fiber connection purchased in US.,Refund,Positive
Please provide details. I requested a refund of $30 for my broadband purchased in Canada.,Refund,Neutral
I need some information. I am experiencing router malfunction with my international roaming in India.,Technical,Neutral
I am unhappy with the service. I requested a refund of $200 for my family plan purchased in India.,Refund,Negative
I appreciate your help. I requested a refund of $120 for my data pack purchased in India.,Refund,Positive
Please provide details. I was charged extra $200 for my data pack in UAE via customer support.,Billing,Neutral
Thank you for your assistance. I am experiencing DNS error with my fiber connection in UAE.,Technical,Positive
Could you help me? I was charged twice $40 for my SIM card in Australia via live chat.,Billing,Neutral
Glad this was resolved. I was tax miscalculated $75 for my WiFi extender in South Africa via email support.,Billing,Positive
I am satisfied with the service. I want to report long waiting time regarding data pack support in Canada.,Complaint,Positive
Kindly assist me. I would like information about upgrade options and cloud storage for the router.,Product Inquiry,Neutral
This situation is frustrating. I would like information about device compatibility and unlimited calls for the data pack.,Product Inquiry,Negative
I appreciate your help. I want to report rude behavior regarding data pack support in UK.,Complaint,Positive
I am unhappy with the service. I am experiencing no signal with my broadband in Australia.,Technical,Negative
Please provide details. I want to report lack of transparency regarding international roaming support in France.,Complaint,Neutral
I am satisfied with the service. I requested a refund of $50 for my mobile plan purchased in Singapore.,Refund,Positive
Glad this was resolved. I want to report delayed response regarding WiFi extender support in Canada.,Complaint,Positive
Glad this was resolved. I am experiencing router malfunction with my WiFi extender in India.,Technical,Positive
I need some information. I requested a refund of $200 for my router purchased in Australia.,Refund,Neutral
I am very disappointed. I was overcharged $120 for my family plan in UK via customer support.,Billing,Negative
Thank you for your assistance. I am experiencing connection drops with my data pack in France.,Technical,Positive
I appreciate your help. I want to report lack of transparency regarding WiFi extender support in Singapore.,Complaint,Positive
Kindly assist me. I was tax miscalculated $120 for my router in Germany via customer support.,Billing,Neutral
Thanks for the quick support. I want to report delayed response regarding broadband support in UAE.,Complaint,Positive
This is unacceptable. I was overcharged $30 for my fiber connection in Australia via call center.,Billing,Negative
This situation is frustrating. I was tax miscalculated $150 for my broadband in Germany via call center.,Billing,Negative
I appreciate your help. I want to report poor service regarding WiFi extender support in France.,Complaint,Positive
